index,name,climate-risk-region,farming-system,sub-system,farm-vulnerability-component,weather-event,weather-event-season-or-period,2nd-weather-event,2nd-weather-event-season-or-period,description-of-the-measure,implementation,ghg-emissions,air-quality,soil,water,biodiversity,animal-welfare,economic,social,technical-feasibility,comments-on-sustainability,alt-language,alt-name,alt-sub-system,alt-weather-event-season-or-period,alt-2nd-weather-event-season-or-period,alt-description-of-the-measure,alt-comments-on-sustainability
101,Adaptation of the feed ration,3,2,Dairy cows,22,3,Summer,,,Increasing the energy content in the feed ration and feeding high digestible roughage,1,2,2,2,2,2,1,5,2,2,"During heat periods, the animals have a higher need of energy to cool down. To satisfy the need, the feed ration should be more energetic without having too little fibre. The adaptation of the feed has to be done step by step. During heat periods, the roughage should have the best quality.",1,Anpassung der Futterration,Milchkühe,Sommer,,Erhöhung des Energiegehaltes in der Futterration und Verfütterung von Grundfutter höchster Qualität,"Während Hitzeperioden haben  die Tiere einen erhöhten Energiebedarf, um ihre Körpertemperatur zu senken. Um diesen Bedarf zu decken, sollte die Futterration energiereicher gestaltet sein, ohne jedoch den notwendigen Rohfaseranteil zu unterschreiten. Die Anpassung muss schrittweise erfolgen. Während dieser Zeit sollte Grundfutter von bester Qualität gefüttert werden."
102,Adaptation of the feeding time,3,2,Dairy cows,22,3,Summer,,,"Shifting the feeding time to the cooler night time, feeding two times a day",1,2,2,2,2,2,1,2,3,1,"During hot days, the fodder intake of the animals is reduced. When the temperatures decrease at the end of the day, the animals increase their fodder intake. To avoid the fodder going bad due to the high temperatures, it should be offered two times a day (not only once). The work load increases with this.",1,Anpassung der Fütterungszeit ,Milchkühe,Sommer,,Verschiebung der Fütterungszeit in die kühleren Abend-/Nachstunden; zweimalige Futtervorlage ,"Während heißer Tage ist die Futteraufnahme der Tiere reduziert. Wenn es abends kühler wird, steigern die Tiere die Futteraufnahme und fressen über nacht mehr als tagsüber. Um zu vermeiden, dass das Futter bei hohen Temperaturen verdirbt, ist eine zweimalige Futtervorlage angeraten. Dies bedarf eines höheren Arbeitsaufwands."
103,Natural shading of the barn,3,2,All animals,23,3,Summer,,,Planting trees around the barn to protect the barn from heat with natural shade,1,1,1,2,2,1,1,5,2,1,"The cooling effect by planting trees around the barn is only visible once the trees are big enough for efficient cooling. This cooling doesn`t cost energy, the trees store CO2 and offer a habitat for a lot of animals. Furthermore the transpiration of the trees create a positive microclimate. ",1,Natürliche Stallbeschattung ,Alle Tiere,Sommer,,Pflanzung von Bäumen für eine natürliche Beschattung des Stalls zur Reduzierung der Stalltemperatur,"Der Kühleffekt durch die gepflanzten Bäume um den Stall wird erst in den kommenden Jahren deutlich spürbar, bis die Bäume groß genug für eine effektive Kühling sind. Jedoch kostet diese Art von Kühlung keine Energie, die Bäume speichern CO2 und bieten Lebensraum für viele Tiere. Darüber hinaus entsteht durch die Verdunstung des Baumes ein positives Kleinklima."
104,Improving the barn cooling system,3,2,Pigs,23,3,Summer,,,Improve the cooling system to reduce the barn temperature 3°C under the outside temperature,2,3,1,2,3,2,1,2,2,3,"To reduce the barn temperature under the outside temperature, cooling systems have to be implemented. Possible measures e.g.: air intake from the north side/from ground level, air intake along an irrigated brick wall, high pressure system with nebulisation. Cool barn temperatures reduce the ammonia emissions.  Additional energy / water costs and xternal advice are necessary.",1,Verbesserung der Kühlsysteme,Schweine,Sommer,,Verbesserung des Kühlsystems zur Reduzierung der Stalltemperatur unter 3°C der Außentemperatur,"Um die Stalltemperatur unter die Außentemperatur zu bringen, müssen entsprechende Kühlsysteme eingerichtet werden. Mögliche Maßnahmen sind z.B. Zulufführung von der Nordseite/Bodennähe bzw. über eine bewässerte Ziegelwand, Hochdruckanlage mit Vernebelung. Durch kühlere Stalltemperaturen entstehen  geringere Ammoniakemissionen. Ggf. zusätzliche Energie-/Wasserkosten und externe Beratung  erforderlich."
105,Photovoltaic system on the roof,3,2,All animals,23,3,Summer,,,Photovoltaic system on the barn roof to reduce the temperature in the barn,2,1,1,2,2,2,1,4,2,2,"Photovoltaic systems have a cooling effect on the barn as they avoid the direct solar radiation onto the barn roof. At the same time, photovoltaic produces renewable energy which can be used for other energy needs on the farm (e.g. additional sprinkler, ventilator, milking system). The first investment is high but this can be balanced out by the produced energy and the increased animal welfare. Cool barn temperatures reduce the ammonia emissions.",1,Photovoltaikanlage auf dem Stalldach,Alle Tiere,Sommer,,Photovoltaikanlagen auf dem Stalldach zur Reduzierung der Stalltemperaturen,"PV-Anlagen haben einen kühlenden Effekt auf die Stalltemperaturen, da sie die direkte Sonneneinstrahlung auf das Dach verhindern und so auch Ammoniakemissionen reduzieren. Zudem produzieren die PV-Anlagen regenerative Energie, die für andere Einsätze auf dem Betrieb erforderlich ist (z.B. zusätzliche Sprenkler, Ventilatoren). Die Anschaffungskosten sind hoch, können aber durch die Eigenstromproduktion  und  höheres Tierwohl ausgeglichen werden."
106,Legumes in grassland,3,2,Dairy cows,21,3,Summer,1,Summer,Integration of legumes in grassland,1,1,2,1,2,1,2,5,2,1,"A diverse grassland is more stable than grassland with a high share of grass. Especially legumes, such as alfalfa are more drought tolerant than grass.  It is important to have fields with different grassland compostions so the risk for yield losses is spread. Furthermore, diverse grassland increases the fodder value for the animals, stores N in the soil, improves the soil structure and the biodiversity on the field and reduces N2O emissions.",1,Leguminosen im Grünland,Milchkühe,Sommer,Sommer,Integration von Leguminosen in das Grünland,"Vielseitiges Grünland ist ertragsstabiler als einseitig gräserdominiertes Grünland. Besonders Leguminosen wie Luzerne sind sehr trockentolerant. Für stabile Erträge ist es zudem sinnvoll, zur Risikoreduzierung verschiedene Grünlandbestände zu bewirtschaften. Gleichzeitig erhöhen vielseitige Grünlandbestände den Futterwert, reichern N im Boden an, fördern die Bodenstruktur und die Biodiversität auf der Fläche. Weniger N2O Emissionen. "
107,Fodder stocks and portioning,3,2,Dairy cows,21,1,Summer,,,Creating sufficient fodder stocks for years with low yields and small fodder stock units,2,2,2,2,2,2,2,5,2,2,"Fodder from good years is stored as a reserve for years with low yields, e.g. years with long summer drought, very wet years. It is useful to have a fodder reserve of up to 20%. The investment in storage facilities is paid off in years with high fodder prices and low availability. 
A portioning into small units, such as silage bales or hay, help to overcome times of low fodder availability in summer without having the need to open a big silo.",1,Futterbevorratung und Portionierung,Milchkühe,Sommer,,Anlegen von ausreichend Futtervorräten für ertragsarme Jahre und von kleineren Futtereinheiten,"Grundfutter in guten Jahren wird als Vorrat für schlechtere Ertragsjahre gelagert. Empfehlenswert ist es, bis zu 20% Futterreserven vorzuhalten. Investitionen in zusätzliche Lager zahlen sich in schlechten Jahren mit hohen Futterpreisen und geringer Verfügbarkeit aus.
Kleinere Silageportionen/Heu überbrücken Notzeiten im Sommer bis zum nächsten Aufwuchs, sodass große Siloeinheiten nicht angebrochen werden müssen."
108,Grassland renewal,3,2,Dairy cows,21,1,Summer,,,"Renewal of grassland with adapted seeds, by sowing into the gaps that occur after periods of drought ",1,1,2,1,1,2,2,5,2,3,"For a high grassland productivity, it is important to close the gaps in the grassland which are caused by drought periods. It has an effect on the whole system - uniform rooting, supression of unwanted plants, a higher water infiltration and stable yields. Expert knowledge may be required. ",1,Grünlandsanierung,Milchkühe,Sommer,,"Konsequentes Nachsäen von Lücken im Grünland mit angepasstem Saatgut, die während Trockenperioden entstanden sind.","Für eine hohe Grünlandproduktivität ist es wichtig, Lücken im Grünland zu schließen, die z.B. aufgrund von Trockenperioden entstanden sind. Dies hat Auswirkungen auf das ganze Grünlandsystem - gleichmäßige Durchwurzelung, Unterdrückung von unerwünschtem Aufwuchs, eine höhere Wasserinfiltration, und stabile Erträge. Beratung durch Dritte ggf. notwendig."
109,Adapted grazing management,3,2,Dairy cows,21,1,Summer,,,Using wetter grazing sites during drought periods - No excessive use of dry grassland,2,2,2,2,2,2,1,5,2,2,"Increasing drought periods makes it necessary to optimize the grassland/grazing management. Dry grazing sites can`t be used as long as usual, so wetter sites should be provided. The dry sites shouldn`t be grazed too long or too short so that the grassland can recover again. Longer periods without grazing/cutting support the root growth.",1,Anpassung des Weidemanagements,Milchkühe,Sommer,,Nutzung von feuchteren Weidestandorten während Trockenperioden - keine Übernutzung von trockenem Grünland,"Zunehmende Trockenperioden machen es notwenig, das Grünland-/Weidemanagement zu optimieren. Trockene Weiden sollten nicht so lange beweidet werden wie unter gewohnten Bedingungen, dafür sollten feuchtere Standorte zur Verfügung stehen. Zudem sollten die Weiden  nicht zu kurz abgeweidet werden, damit sich der Grünlandbestand wieder erholen kann. Längere Ruhezeiten fördern das Wurzelwachstum."
110,Liquid manure management,3,2,Grassland,21,2,All,1,All,Building further covered slurry tanks to increase the storage capacity,2,1,1,1,1,1,2,4,2,3,"Increasing heavy rainfalls and drought are expected in the near future, so the optimal time for spreading liquid manure can be reduced. Liquid manure should only be spread on soil with a good carrying capacity to avoid soil compaction. The investment for further slurry tanks is high and needs some advice, but the advantage is a higher flexibility in spreading. This avoids liquid manure being spread in suboptimal conditions.",1,Güllemanagement,Grünland,Ganzjährig,,"Errichtung von zusätzlichen, abgedeckten Güllelagern, um die Lagerkapazität zu erweitern","Vermehrt starke Regenfälle / mehr Regen im Herbst/zeitigem Frühjahr werden zukünftig erwartet, so dass sich die Zeitfenster zur Gülleausbringung verkleinern. Gülle sollte nur auf tragfähigen Boden ausgebracht werden. Die Investitionen in Gülletanks sind hoch und bedürfen einer Beratung, gewähren jedoch flexiblere Ausbringzeiten aus. Es verhindert, dass Gülle in zu hohen Mengen während Trockenzeiten bzw. auf zu nassen Boden ausgebracht wird.  "
111,Liquid manure management,3,1,All crops,13,2,All,1,All,Building further covered slurry tanks to increase the storage capacity,2,1,1,1,1,1,2,4,2,3,"Increasing heavy rainfalls and drought are expected in the near future, so the optimal time for spreading liquid manure can be reduced. Liquid manure should only be spread on soil with a good carrying capacity to avoid soil compaction. The investment for further slurry tanks is high and needs some advice, but the advantage is a higher flexibility in spreading. This avoids liquid manure being spread in suboptimal conditions.",1,Güllemanagement,Ackerfrüchte,Ganzjährig,,"Errichtung von zusätzlichen, abgedeckten Güllelagern, um die Lagerkapazität zu erweitern","Vermehrt starke Regenfälle / mehr Regen im Herbst/zeitigem Frühjahr werden zukünftig erwartet, so dass sich die Zeitfenster zur Gülleausbringung verkleinern. Gülle sollte nur auf tragfähigen Boden ausgebracht werden. Die Investitionen in Gülletanks sind hoch und bedürfen einer Beratung, gewähren jedoch flexiblere Ausbringzeiten aus. Es verhindert, dass Gülle in zu hohen Mengen während Trockenzeiten bzw. auf zu nassen Boden ausgebracht wird.  "
112,Passive barn cooling,3,2,"Dairy cows, pigs",22,3,Summer,,,"Reduced heat stress by passive cooling e.g. open roofs/side walls, free ventilated pent roof, floor cooling",2,2,1,2,2,2,1,2,2,3,"By using passive ventilation in the barn, the use of energy intensive systems such as ventilators can be reduced. Technical advice may be necessary. Cooler temperatures reduce ammonia emissions and can significantly support the animal welfare and the animal health.",1,Passive Stallkühlung,"Milchkühe, Schweine",Sommer,,"Reduzierter Hitzestresses durch Dach-/Seitenwandöffnungen, frei belüftetes Pultdach, Bodenkühlung",Durch die Nutzung von passiven Luftströmen in frei belüfteten Ställen kann auf energieintensive Einrichtungen wie z.B. Ventilatoren vermehrt verzichtet werden. Evtl. muss zur Umsetzung technische Beratung hinzugezogen werden. Kühlerre Stalltemperaturen verursachen geringere Ammoniakemissionen und können maßgeblich zur Erhöhung des Tierwohls und der Tiergesundheit beitragen.
113,Cultivation of new crops,3,1,All crops,13,3,Summer,1,Summer,Cultivation of new crops such as sunflowers or soy beans to adapt the crop cultivation to the changing conditions,2,2,2,2,2,2,2,5,2,2,"New, adapted crops such as sunflowers, soy beans or camelina sativa increase the production possibilities / the crop rotation and may lead to new market opportunities. Heat tolerant crops (take the water demand into account!) can increase the yield stability.",1,Anbau neuer Kulturen,Alle Ackerfrüchte,Sommer,Sommer,"Anbau neuer Kulturen wie Sonnenblumen, Sojabohnen, Leindotter zur Anpassung des Ackerbaus an die veränderten Bedingungen","Neue, angepasste Kulturen wie Sonnenblumen, Sojabohnen, Leindotter erweitern die Anbaumöglichkeiten bzw. die Fruchtfolge und bieten ggf. auch neue Marktchancen. Durch die i.d.R. hitzetoleranteren Kulturen (Wasserbedarf beachten!) kann sich die Ertragsstabiliät im Betrieb erhöhen. "
114,Change seeding times,3,1,All crops,13,3,spring/fall,1,Summer,Earlier sowing of spring- and later sowing of winter crops,1,2,2,2,2,2,2,5,2,1,"Due to a longer vegetation period, the sowing times can be adapted. Earlier sowing of spring crops has the benefit of using the winter water storage and avoiding the summer heat and drought in July/August due to an earlier ripening of the crops. Later sowing has the advantage of reducing the excessive growth of winter crops before winter. The risk of insects and pathogen pressure is therefore reduced and the yields can be stabilised.",1,Anpassung von Aussaatterminen,Alle Ackerfrüchte,Frühjahr/Herbst,Sommer,Frühere Aussaat von Sommer- bzw. spätere Aussaat von Winterkulturen,Aufgrund länger werdender Vegetationsperioden können die Aussaatzeiten angepasst werden. Durch eine frühere Aussaat der Sommerkulturen kann die Winterfeuchte ausgenutzt werden. Durch die dadurch frühere Ernte kann die starke Sommerhitze und Trockenheit im Juli/August (teilweise) vermieden werden. Spätere Aussaat von Winterkulturen verhindert zu mastige Bestände vor dem Winter und reduziert so den Schädlings-/Krankheits-/Unkrautdruck. 
115,Year round soil cover,3,1,All crops,13,8,All,,, A year-round soil cover by optimised crop rotation,2,1,2,1,1,1,2,5,2,3,"A year-round soil cover leads to an active soil life, a good soil structure, less nutrient leaching, increased CO2 storage, a higher biodiversity and to stable yields. For this, the crop rotation has to be adapted with e.g. under sowing, a balanced relationship between stalk-/leaf crops, winter/spring crops with catch crop cultivation between winter crops as well. Technical advice may be necessary.",1,Ganzjährige Bodenbedeckung,Alle Ackerfrüchte,Ganzjährig,,Ganzjährige Bodenbedeckung durch optimierte Fruchtfolgegestaltung,"Eine ganzjährige Bodenbedeckung führt zu einem aktiven Bodenleben, einer guten Bodenstruktur, verminderter Nährtoffauswaschung, gesteigerter CO2-Bindung und einer erhöhten Biodiversität und letztlich zur Ertragsstabilisierung.  Hierzu bedarf es einer angepassten Fruchtfolge mit Untersaaten, Ausgleich zwischen Halm-/Blatt bzw. Winter-/Sommerkulturen mit Zwischenfruchtanbau, auch zwischen Winterkulturen). Dies bedarf evtl. externer Beratung."
116,Horizontal cultivation,3,1,All crops,13,2,All,,,Reducing the erosion risk by cultivation horizontally to the slope of the hill,1,2,2,1,1,2,2,5,2,1,"By cultivating horizontally to the hill, soil erosion caused by heavy rainfall can be reduced. The tractor tracks and the plant rows cultivated horizontally to the hill reduce the running off of water so the topsoil is kept on the field. The water can infiltrate and avoids the running off of nutrients and pesticides.",1,Bewirtschaftung quer zum Hang,Alle Ackerfrüchte,Ganzjährig,,Reduzierung des Erosionsrisikos durch Bewirtschaftung quer zum Hang,"Durch die Bewirtschaftung quer zum Hang kann die Bodenerosion, verursacht durch starke Niederschläge, reduziert werden. Die Bewirtschaftungsspuren sowie die Pflanzreihen quer zum Hang reduzieren das ablaufende Wasser, so dass der wertvolle Boden auf dem Acker verbleibt. Das Wasser kann infiltrieren und der oberflächliche Abfluss von Nährstoffen und Pestiziden wird reduziert."
117,Piling up of soil,3,1,Ridge plantings,13,2,All,,,Reducing the erosion risk by piling up the soil in the rows ,2,3,2,1,1,2,2,2,3,3,"Ridging of the soil horizontally to the main ridge in e.g. a potato field reduces the risk of soil erosion caused by heavy precipitations. The topsoil is kept on the field and the rainwater can infiltrate. This also prevents the run off of nutrients and pesticides. A further working step is necessary (fuel, working hour). For the special technique an investment and technical advice may be needed. ",1,Anhäufeln in den Reihen von Dammkulturen,Dammkulturen,Ganzjährig,,Reduzierung des Erosionsrisikos durch das Anhäufeln in den Reihen,"Das Anhäufeln zwischen den Reihen von Dammkulturen wie Kartoffeln reduziert das Erosionsrisiko durch starke Niederschläge. Der wertvolle Oberboden verbleibt auf dem Acker, die Niederschläge können dort infiltrieren. Dies verhindert ebenfalls den oberflächlichen Abfluss von Nährstoffen und Pestiziden. Dafür ist ein weiterer Arbeitsgang notwendig (Treibstoff, Arbeitsstunden). Für die Spezialtechnik sind Investitionen und ggf. Beratung erforderlich."
118,Frost protection through watering,3,3,"Apple, vineyards",33,4,Spring,,,A continious watering for frost protection avoids frost damages on buds and blossoms,2,3,2,2,3,2,2,4,2,3,Watering for frost protection is an effective measure to avoid heavy damages in the crop culture and to ensure a good harvest. It has to be noted that the investment is high and the water availability has to be checked. The watering leads to a higher energy and water demand on the farm,1,Frostschutzberegnung,"Apfel, Wein",Frühjahr,,Eine kontinuierliche Frostschutzberegnung bei Frostgefahr verhindert Frostschäden an Knospen und Blüten,"Frostschutzberegnung ist eine effektive Maßnahme, um schwerwiegende Frostschäden an den Kulturen zu verhindern und den Ertrag zu sichern. Dabei gilt es jedoch zu bedenken, dass der Investitionsbedarf sehr hoch ist und die Wasserverfügbarkeit geprüft werden muss. Durch die Bewässerung erhöht sich der Energie- und Wasseraufwand im Betrieb."
119,Stabilisation of feed mix rations,3,2,Dairy cows,22,3,Summer,,,Acidification of feed mixture ration improves the aerobic stability of the mixture,1,2,2,2,2,2,1,5,2,1,"A stabilized feed mixture ensures constant good feed quality also under extreme conditions. Very high temperatures can cause faulty fermentation. Due to the acidification of the feed, the animals will get constant high quality feed which keeps them healthy and productive",1,Stabilisierung von Futtermischrationen (TMR),Milchvieh,Sommer,,Ansäuerung von Futtermischrationen (TMR) verbessert die aerobe Stabilität der Mischung,"Stabilisierte Futtermischungen (TMR) gewährleisten eine gute Futterqualität auch unter extremen Bedingungen. Sehr hohe Temperaturen können Fehlgärungen verursachen. Die Ansäuerung des Futters ermöglicht es, den Tieren auch unter diesen Bedingungen konstant hohe Futterqualität vorzulegen, die die Gesundheit der Tiere sowie deren Produktivität fördert."
120,New barn,3,2,All animals,23,3,Summer,,,"Insulated roof, light colourd roof, high eaves, seperate milking house, fresh air from floor channels",3,2,2,2,2,2,1,2,2,3,"When building a new barn, there are many possibilities to reduce the heat stress. To reduce the energy demand, the focus has to be on passive ventilation and on reducing the heat through direct radiation. The investment in a new barn has to be planned very well. If this is done, the animal welfare as well as the working conditions for the farmer will be improved.",1,Stallneubau,Alle Tiere,Sommer,,"Isoliertes (Auslauf-)Dach, helles Dach, breiter Dachüberstand, hohe Traufen (> 4,5 m), separates Melkhaus, ausreichend Luftbewegung, Frischluft aus Bodenkanälen","Um Hitzestress zu reduzieren, kann bei einem Stallneubau auf vielseitige Weise darauf reagiert werden. Um den Energieaufwand zu reduzieren, liegt der Fokus auf passiver Lüftung und der Reduzierung der Hitzebildung durch direkte Sonneneinstrahlung. Die Investition in einen neuen Stall muss finanziell gut geplant sein. Neben der Verbesserung des Tierwohls soll auch das Arbeiten für den Landwirt verbessert werden."
121,Wide range of varieties,3,1,All crops,12,8,All,,,Cultivation of different varieties of one crop with phased ripening,1,2,2,2,2,2,2,5,2,2,"The cultivation of different varieties of one crop with phased ripening spreads the risk of yield loss and leads to more stable yields. With the spread of the ripening, it is possible to react to unforeseen weather conditions.",1,Erweitertes Sortenspektrum,Alle Ackerfrüchte,Ganzjährig,, Anbau von unterschiedlichen Sorten einer Kultur mit unterschiedlichen Abreifezeiten,"Der Anbau von unterschiedlichen Sorten einer Kultur mit unterschiedlichen, gestaffelten Abreifezeiten streut das Ertragsrisiko und kann somit zu stabilen Erträgen führen.  Damit wird auf die unvorhersehbaren Wetterbedingungen reagiert, die durch die unterschiedlichen Sorten-/Abreifeeigenschaften aufgefangen werden können."
122,Controlled traffic system,3,1,All crops,13,2,All,,,"GPS-guided tractors always pass over the same lines in the field, leaving high soil porosity in the space in between. ",2,1,2,1,1,1,2,4,2,3,"Positive effect on GHG-Emissions less diesel has to be used. Positive effect on soil and biodiversity, as soil compaction is reduced and earthworms and other soil life is not disturbed except in the driving lines. If the system has to be bought, economic investment at the beginning is high. In the long term this is paid off through higher yields as root growth is favored and the soil water storing capacity is increased.",1,Kontrolliertes Traktorsystem,Alle Ackerfrüchte,Ganzjährig,,GPS-gesteuerte Traktoren fahren immer in der gleichen Fahrspur und schützen so die restliche Bodenstruktur,"Positiver Effekt auf THG-Emissionen da weniger Diesel für die Überfahrten genutz wird. Der positive Effekt auf den Boden und die Biodiversität beruht auf der verringerten Bodenverdichtung und der Schonung von Regenwürmern und Bodenleben außerhalb der Fahrspuren. Durch den Kauf des Systems sind die Investitionen anfangs hoch. Langfristig wird es sich durch höhere Erträge, bedingt durch besseres Wurzelwachstum und  eine höhere Wasserspeicherkapazität, ausbezahlen ."
123,Water storage facilities on farm,3,1,All crops,14,1,All,,,"Building of water storages for water from runoff, roofs, drainage systems, storms or the construction of wells",2,2,2,1,1,1,2,4,2,3,"Positive effect on water resources if the water storage is filled with runoff water or water from storms. If ponds are constructed on farms, these can become a biotope for flora and fauna. The soil life and soil structure also profit from the watering. There is a high economic investment for the building of a pond or well, but this leads to stable yields during drought events so there is a return of investment.",1,Betriebliche Wasserspeicher ,Alle Ackerfrüchte,All,,"Einrichtung von Wasservorräten aus Ablaufwasser, Dächern, Drainage, Sturm/Niederschläge bzw. Errichtung von Brunnen","Wassersammelbecken zur Bewässerung schonen Trinkwasserressourcen. Angelegte Teiche bieten Lebensraum für Flora und Fauna. Von der Bewässerung profitiert auch das Bodenleben und somit die Bodenstruktur. Hohe Investitionskosten für Bewässerungsbecken, Brunnen usw können jedoch durch hohe, stabile Erträge ausgeglichen werden. "
124,Water storage facilities on farm,3,3,"Apple, vineyards",34,1,All,,,"Building of water storages for water from runoff, roofs, drainage systems, storms or the construction of wells",2,2,2,1,1,1,2,4,2,3,"Positive effect on water resources if the water storage is filled with runoff water or water from storms. If ponds are constructed on farms, these can become a biotope for flora and fauna. The soil life and soil structure also profit from the watering. There is a high economic investment for the building of a pond or well, but this leads to stable yields during drought events so there is a return of investment.",1,Betriebliche Wasserspeicher ,"Apfel, Wein",All,,"Einrichtung von Wasservorräten aus Ablaufwasser, Dächern, Drainage, Sturm/Niederschläge bzw. Errichtung von Brunnen","Wassersammelbecken zur Bewässerung schonen Trinkwasserressourcen. Angelegte Teiche bieten Lebensraum für Flora und Fauna. Von der Bewässerung profitiert auch das Bodenleben und somit die Bodenstruktur. Anfänglich höhere Investitionskosten für Bewässerungsbecken, Brunnen usw. "
125,Increase field capacity ,3,1,All crops,13,2,All,1,All,Increase machine capacity on farm to take advantage of dry spells during harvest and for any field work ,2,1,1,1,2,1,2,5,2,2,"Positive effect on greenhouse gas emissions, air quality and biodiversity as fertilizers are brought out at the correct time to avoid unnecessary emissions and nitrate leaching. Positive effect on soil as soil compaction is reduced by avoiding wet weather conditions. The farmer can take advantage of good harvest conditions when weather becomes unpredictable. ",1,Optimierung der betrieblichen Schlagkraft,Alle Ackerfrüchte,All,Ganzjährig,Hohe betriebliche Schlagkraft zur Erledigung von Feldarbeiten mit nur kleinen Zeitfenstern ,"Positive Effekte auf Treibhausgasemissionen, Luftqualität und Biodiversität durch die Ausbringung von Dünge- und Pflanzenschutzmittel zum optimalen Zeitpunkt. Gleichzeitig reduziert dies das Risiko für Bodenverdichtung.  Ausnutzung guter Wetterbedingungen während der Ernte. "
126,Cooling of the grape harvest,3,3,Vineyards,32,3,Fall,,,Cooling of the grapes when they are harvested during high temperatures in order to ensure an optimal fermentation,2,3,2,2,2,2,2,2,3,3,"Increasing high temperatures during the harvest, and therefore warmer grapes, affect the further processing of the grapes. This means the grapes must be cooled down. By cooling the grapes, GHG emissions increase. For the farmer it entails a further working step and some investment, which should be balanced out by a better price for the good quality. External advice may be necessary to introduce this measure. ",1,Kühlung der Traubenernte,Wein,Herbst,,Durch die Kühlung der Traubenernte während sehr hohen Temperaturen wird das Risiko einer Fehlfermentation reduziert,"Zunehmend hohe Temperaturen während der Ernte und damit wärmere Trauben haben einen negativen Einfluss auf die Verarbeitung der Trauben, so dass eine Kühlung notwendig werden kann. Durch die Kühlung entstehen zusätzlich THG-Emissionen sowie ein zusätzlicher Arbeitsschritt für den Winzer. Die gleichbleibend hohe Qualität jedoch führt trotz Investitionen zu Ertragsstabilität. Zur Umsetzung der Maßnahme kann externe Beratung notwendig sein."
127,Increasing the life productivity,3,2,Dairy cows,22,8,All,,,"If the life productivity of the cows is increased, less offspring is needed and therefore less fodder per kg milk.",2,1,1,2,2,2,1,5,2,3,"Climate change will lead to increasing yield fluctuations, also in the grassland production. For an optimal feed use, the life productivity of the cows has to be increased. This means that less breeding is necessary. Per produced kg milk the GHG-/ammonia emissions will decrease. This can be reached by optimizing the feeding and holding as well as tolerating a lower production rate per cow/year and by seeking professional advice. ",1,Erhöhung der Lebensleistung,Milchkühe,Ganzjährig,,Durch die Steigerung der Lebensleistung wird weniger Nachzucht benötigt und somit weniger Futter pro kg erzeugter Milch,"Der Klimawandel wird auch künftig zu vermehrten Ertragsschwankungen besonders im Grünland führen. Um das zeitweise knappe Futter optimal zu nutzen, wird die Lebensleistung der Kühe erhöht. D.h. pro kg Milch sinkt der Futteraufwand. Möglich ist dies z.B. durch Optimierung der Fütterung und Haltung sowie Toleranz gegenüber einer niedrigeren Tierproduktion/Jahr und eine fachlich kompetente Beratung. Der THG-/Ammoniakausstoß pro kg Milch sinkt."
128,Self-driving machines,3,3,"Apple, vineyards",33,2,All,,,Reducing the soil compression by self-driving machines e.g. for hoeing the tree strips,2,1,2,1,1,2,2,4,1,3,"The lighter and self-driving machines reduce the soil compression and the GHG emissions. Soil organisms, soil structure and water infiltration into the soil profit from this and therefore the yields as well. Initial investments are necessary but are payed off by the lower fuel and personal need and the improved soil structure. External advice may be necessary.",1,Selbstfahrende Maschinen,"Apfel, Wein",Ganzjährig,,Verringerung der Bodenverdichtung durch selbstfahrende batteriebetriebene Fahrzeuge z.B. zum Hacken der Baumstreifen,"Durch die leichteren, selbstfahrenden Maschinen reduziert sich der Bodendruck und die THG-Emissionen. Davon profitieren das Bodenleben, die Bodenstruktur und die Infiltrationsleistung des Bodens und somit die Ertragsleistung der Pflanzen. Anfangsinvestitionen notwendig, zahlen sich langfristig durch den geringeren Treibstoff- und Arbeitszeitaufwand sowie die verbesserte Bodenstruktur aus. Ggf. Beratung durch externe Dritte notwendig."
129,Use of agricultural information services and professional advisor,3,1,All crops,13,8,All,,,"To cope with climate change,diverse external agricultural information services are used ",1,1,1,1,1,1,2,5,2,2,"The advice for sustainable adaptation measures ideally has positive synergy effects (e.g. lower GHG emissions, improved soil infiltration, stabilised yields). At the same time, the farmer has to have a good understanding of his own production system and observe it well. External advice is necessary. ",1,Nutzung von landwirtschaftlichen Informationsdiensten und fachlicher Beratung,Alle Ackerfrüchte,Ganzjährig,,"Nutzung von verschiedenen, externen fachlichen Beratungsstellen aufgrund sich ändernder Produktionsbedingungen","Die Beratung zur Umsetzung von nachhaltigen Anpassungsmaßnahmen wirkt sich im Idealfall positiv auf angrenzende Bereiche aus (z.B. geringerer THG-Emissionen, verbesserte Bodeninfiltration, stabilere Erträge). Gleichzeitig erfordern die sich ändernden Bedingungen auch eine verstärkte Beobachtung der Produktion durch den Landwirt selbst. Beratung durch Externe nötig. "
