index,name,climate-risk-region,farming-system,sub-system,farm-vulnerability-component,weather-event,weather-event-season-or-period,2nd-weather-event,2nd-weather-event-season-or-period,description-of-the-measure,implementation,ghg-emissions,air-quality,soil,water,biodiversity,animal-welfare,economic,social,technical-feasibility,comments-on-sustainability,alt-language,alt-name,alt-sub-system,alt-weather-event-season-or-period,alt-2nd-weather-event-season-or-period,alt-description-of-the-measure,alt-comments-on-sustainability
127,Use of agricultural information services and professional advisor,3,2,Dairy cows,21,8,All,,,"To cope with climate change,diverse external agricultural information services are used ",1,1,1,1,1,1,1,5,2,2,"The advice for sustainable adaptation measures ideally has positive synergy effects (e.g. lower GHG emissions, improved soil infiltration, stabilised yields). At the same time, the farmer has to have a good understanding of his own production system and observe it well. External advice is necessary. ",1,Nutzung von landwirtschaftlichen Informationsdiensten und fachlicher Beratung,Milchvieh,Ganzjährig,,"Nutzung von verschiedenen, externen fachlichen Beratungsstellen aufgrund sich ändernder Produktionsbedingungen","Die Beratung zur Umsetzung von nachhaltigen Anpassungsmaßnahmen wirkt sich im Idealfall positiv auf angrenzende Bereiche aus (z.B. geringerer THG-Emissionen, verbesserte Bodeninfiltration, stabilere Erträge). Gleichzeitig erfordern die sich ändernden Bedingungen auch eine verstärkte Beobachtung der Produktion durch den Landwirt selbst. Beratung durch Externe nötig. "
128,Use of agricultural information services and professional advisor,3,3,"Vineyards, Apples",33,8,All,,,"To cope with climate change,diverse external agricultural information services are used ",1,1,1,1,1,1,2,5,2,2,"The advice for sustainable adaptation measures ideally has positive synergy effects (e.g. lower GHG emissions, improved soil infiltration, stabilised yields). At the same time, the farmer has to have a good understanding of his own production system and observe it well. External advice is necessary. ",1,Nutzung von landwirtschaftlichen Informationsdiensten und fachlicher Beratung,"Apfel, Wein",Ganzjährig,,"Nutzung von verschiedenen, externen fachlichen Beratungsstellen aufgrund sich ändernder Produktionsbedingungen","Die Beratung zur Umsetzung von nachhaltigen Anpassungsmaßnahmen wirkt sich im Idealfall positiv auf angrenzende Bereiche aus (z.B. geringerer THG-Emissionen, verbesserte Bodeninfiltration, stabilere Erträge). Gleichzeitig erfordern die sich ändernden Bedingungen auch eine verstärkte Beobachtung der Produktion durch den Landwirt selbst. Beratung durch Externe nötig. "
129,Saisonal calving,3,2,Dairy cows,22,1,Summer,,,"Through saisonal calving in spring, high quality food is available for the lactating cows",2,1,2,2,2,2,1,5,2,3,"The need of high quality food is very high after birth. At the same time, grassland  (pasture, grass cutting) is very rich in energy and protein in spring . The supply with optimal food, supports the health and animal output. The need of silage or concentrate is reduced and therefore the GHG emissions.The adaptation possibilities in the barn and the conditions with the dairy company have to be checked.",1,Saisonale Abkalbung,Milchvieh,Sommer,,Durch saisonale Abkalbung im Frühjahr steht den Frischlaktierenden qualitativ hochwertiges Grundfutter zur Verfügung. ,"Der Bedarf an hochwertigem Futter ist in der Laktationszeit nach der Geburt besonders hoch. Dabei ist das Grünlandfutter (Weide, Grasschnitt) im Frühjahr i.d.R. besonders energie- und eiweißreich. Die Versorgung mit optimalem Grundfutter trägt zur Gesundheit und somit zu einer hohen Produktionsleistung der Tiere bei.  Die Anpassungsmöglichkeiten im Stall und die Bedingungen der Molkerei müssen vorab geprüft werden."
130,Adapted insemination time point,3,2,Dairy cows,22,3,Summer,,,Insemination after the hot summer months increases the insemination success ,2,2,2,2,2,2,1,5,2,3,"The insemination success under heat stress is reduced, this can be avoided by insemination in the late summer. At the same time, after saisonal calving in spring, the grassland is very rich in energy and protein in spring. The supply with optimal food, supports the health and animal output. The adaptation possibilities in the barn and the conditions with the dairy company have to be checked.",1,Angepasste Besamungszeit,Milchvieh,Sommer,,Besamung nach den heißen Sommermonaten erhöht den Besamungserfolg,"Der Besamungserfolg bei Kühen ist bei Hitzestress reduziert, was durch eine Besamung im späteren Sommer vermieden werden kann. Gleichzeitig steht dann nach einer saisonalen Abkalbung im Frühjahr den Kühen qualitativ sehr hochwertiges Futter zur Verfügung, was zu einer guten Gesundheit und somit zu einer hohen Produktionsleistung der Tiere beiträgt. Die Anpassungsmöglichkeiten im Stall und die Bedingungen der Molkerei müssen vorab geprüft werden."
131,Minimal pruning,3,3,Vineyards,32,8,All,,,Supporting the natural growth of the vine (liana plant) by minimal pruning ,2,1,2,1,1,1,2,5,1,2,"Less working hours are necessary due to the minimal pruning and the plants are more resistent to deseases, so less field crossings are necessary. This reduces the fuel and pesticide need, with a positive effect on biodiversity, soil organisms and soil structure (e.g. higher infiltration rate and water storing capacity). External agricultural advice is advisable.",1,Naturwuchserziehung,Wein,Ganzjährig,,Unterstützung des natürlichen Wuchses der Rebe (Lianengewächs) durch Minimalschnitt,"Durch den Minimalschnitt sind erheblich weniger Arbeitsschritte erforderlich und die Pflanzen sind widerstandsfähiger gegenüber Pflanzenkrankheiten, so dass weniger Überfahrten zur Pflege notwendig sind. Dies spart Treibstoff und Pestizide, was sich wiederum positiv auf das Bodenleben und die Bodenstruktur  ( z.B. höhere Infiltration, Wasserhaltevermögen) und die Biodiversität auswirkt. Empfehlenswert ist eine begleitende, fachliche Beratung. "
132,Slurry separation,3,2,Dairy cows,21,1,Summer,,,Separation of the slurry into a liquid and a solid part. This increases the nutrient effeciency in the liquid part,2,3,1,2,2,2,2,4,3,3,"The liquid part of the slurry can be spread on the grassland and does not leave a thick manure layer on the grass. The separated slurry has an easier infiltration into the soil. Less ammonia emissions are produced.  Synthetic nitrogen fertilizer could be reduced through higher N content of slurry. For the separation, additional energy, working hours and investments are needed. Latter could be reduced by subcontractors.",1,Gülleseparierung,Milchvieh,Sommer,,Die Separierung der Gülle in einen flüssigen und einen festen Teil erhöht die Nährstoffverfügbarkeit im flüssigen Teil,"Wird der flüssige Gülleanteil auf Grünland ausgebracht, verschmutzen die Pflanzen weniger (ungehinderte Photosynthese) und die Gülle kann direkt in/auf den Boden ausgebracht und die Nährstoffe effizient genutzt werden, wodurch weniger Ammoniak entweicht. Mineraldüngereinsatz kann reduziert werden. Die Separierung bedarf zusätzlicher Energie, Arbeitszeit und Investitionen. Letztere können durch den Einsatz von Lohnunternehmen reduziert werden. "
133,Covering of ridge plantings,3,1,Ridge plantings,13,8,All,,,Grass mulch is spread over the (potato) ridges before the plants break through the soil,2,2,2,1,1,1,2,5,2,2,The mulching has positive effects on the soil and its organisms: It provides organic material and protects from too much heat and erosion and therefore improves the soil structure. The water infiltration rate and water storing capacity increase as well. Pesticides can be reduced due to the suppression effect on weeds. ,1,Bedeckung von Dammkulturen,Dammkulturen,Ganzjährig,,Ausbringung einer Mulchschicht auf die (Kartoffel-) Dämme bevor die Pflanzen durchbrechen,"Die Mulchschicht hat positive Auswirkungen auf den Boden und das Bodenleben: es liefert organisches Material und schützt vor zu viel Hitze und vor Erosion. Dies wiederum verbessert die Bodenstruktur, so dass die Infiltration und Wasserhaltefähigkeit verbessert werden. Aufgrund der unkrautunterdrückenden Wirkung kann der Herbizideinsatz reduziert werden."
134,Mixed intercropping,3,1,All crops,13,8,All,,,"Production of different crops on one field, such as oat/peas, rye/peas, field beans/oat",2,2,2,1,1,1,2,5,2,2,"Different crops have different characteristics such as nutrient suitability, water demands, root growing, temperatures and vulnerability for pests and diseases. This diversity spreads the economic risk, improves the soil structure and the diversity of the soil organisms. Legumes can store nitrogen which can lead to a reduced need for mineral fertiliser.",1,Anbau von Gemengen,Ackerfrüchte,Ganzjährig,,"Anbau von unterschiedlichen Kulturen auf einem Feld wie Hafer/Erbsen, Roggen/Erbsen, Ackerbohnen/Hafer","Unterschiedliche Kulturen besitzen unterschiedliche Eigenschaften wie Nährstoffaneignungsvermögen, Wasserbedarf, Wurzelwachstum und Anfälligkeiten gegenüber Krankheiten / Schädlingen / Hitze. Diese Vielfalt streut die ökonomischen Risiken, verbessert die Bodenstruktur und die Vielfalt des Bodenlebens. Leguminosen können Stickstoff speichern, was zu einer Reduzierung von Mineraldünger führen kann."
135,Conversion to organic production,3,1,All crops,11,8,All,,,"Diverse crop rotation, legumes, no pesticides and mineral fertiliser use",3,2,2,1,1,1,2,5,2,3,"Organic production has positive effects on biodiversity, soil structure and water quality due to the diverse production system that includes legumes. No pesticides and less nutrients are washed into the ground/surface water (max. 2 Livestock units/ha). The GHG emissions per produced unit is mostly not improved due to the lower yields. After the conversion time, better market prices can be reached. Agricultural advice is recommended.",1,Umstellung auf ökologischen Landbau,Alle Ackerfrüchte,Ganzjährig,,"Vielseitige Fruchtfolge, Leguminosen, organischer Dünger, Verzicht auf Mineraldünger und Pflanzenschutzmittel","Ökologischer Landbau wirkt sich aufgrund der vielseitigen Produktion positiv auf Biodiversität (keine chemischen Pflanzenschutz-/Düngemittel), Bodenstruktur (organischer Dünger, Leguminosen) und Wasserqualität ( max 2 GV/ha) aber auch auf die Risikostreuung (breitere Fruchtfolge, Leguminosen) aus. Die THG-Emissionen pro Einheit sind i.d.R. nicht geringer. I.d.R. höhere Preise für Ökoprodukte. Eine begleitende fachliche Beratung wird empfohlen. "
136,Conversion to organic production,3,2,Dairy cows,22,8,All,,,"Diverse crop rotation, legumes, no pesticides and mineral fertiliseruse. Own feed production ",3,2,2,1,1,1,2,5,2,3,"Organic production has positive effects on biodiversity, soil structure and water quality due to the diverse production system that includes legumes. No pesticides and less nutrients are washed into the ground/surface water (max. 2 Livestock units/ha). The GHG emissions per produced unit is mostly not improved due to the lower yields. After the conversion time, better market prices can be reached. Agricultural advice is recommended.",1,Umstellung auf ökologischen Landbau,Milchkühe,Ganzjährig,,"Vielseitige Fruchtfolge, Leguminosen, Verzicht auf Mineraldünger/ Pflanzenschutzmittel, Basis auf eigenen Futtermitteln","Ökologischer Landbau wirkt sich aufgrund der vielseitigen Produktion positiv auf Biodiversität (keine chemischen Pflanzenschutz-/Düngemittel), Bodenstruktur (organischer Dünger, Leguminosen) und Wasserqualität ( max 2 GV/ha) aber auch auf die Risikostreuung (breitere Fruchtfolge, Leguminosen) aus. Die THG-Emissionen pro Einheit sind i.d.R. nicht geringer. I.d.R. höhere Preise für Ökoprodukte. Eine begleitende fachliche Beratung wird empfohlen. "
137,Conversion to organic production,3,3,"Apple, vineyards",32,8,All,,,"Diverse crop rotation, Legumes, no pesticides and mineral fertiliser use",3,2,2,1,1,1,2,5,2,3,"Organic production has positive effects on biodiversity, soil structure and water quality due to the diverse production system. No pesticides and less nutrients are washed into the ground/surface water (max. 2 Livestock units/ha, greening). The GHG emissions per produced unit is mostly not improved due to the lower yields. After the conversion time, better market prices can be reached. Agricultural advice is recommended.",1,Umstellung auf ökologischen Landbau,"Apfel, Wein",Ganzjährig,,"Begrünung, organischer Dünger, Verzicht auf Mineraldünger und Pflanzenschutzmittel","Ökologischer Landbau wirkt sich aufgrund der vielseitigen Produktion positiv auf Biodiversität (keine chemischen Pflanzenschutz-/Düngemittel), Bodenstruktur (organischer Dünger, Begrünung) und Wasserqualität (max. 2 GV/ha) aus. Die THG-Emissionen pro Einheit sind i.d.R. nicht geringer. I.d.R. höhere Preise für Ökoprodukte. Eine begleitende fachliche Beratung wird empfohlen. "
138,Deep mulching,3,3,"Apple, vineyards",32,4,Spring,,,Low mulching of the grass in the driving lane increases the heat release from the soil. The mulch then remains in the driving lane,1,3,2,1,2,3,2,5,2,1,"An additional field crossing increases the fuel demand, but the deep mulching can reduce the frost damages. The mulch material supports the soil organisms and a good soil structure.",1,Tiefes Mulchen,"Apfel, Wein",Frühjahr,,Tiefes Mulchen der Fahrgassen zur Erhöhung der Wärmeabgabe des Bodens - Mulch verbleibt in den Fahrgassen,Eine zusätzliche Überfahrt erhöht den Treibstoffbedarf. Jedoch kann das tiefe Mulchen die Frostschäden verringern. Das Mulchmaterial fördert das Bodenleben und trägt zum Aufbau einer guten Bodenstruktur bei. 
139,Frost protection candles,3,3,"Apple, vineyards",32,4,Spring,,,Frost protection candles are implemented in the driving lanes to avoid a temperature decrease  < 0°C,1,3,3,2,2,2,2,4,3,2,"The use of frost protection candles is very expensive (up to 2400 €/ha/frost night) and leads to increasing GHG emissions and to a reduced air quality. The use of the candles is not allowed everywhere. The additional workload usually is increased only on single days, but the measure is very effective to avoid catastrophic frost damages. Additional hail nets can increase the frost protection effect.",1,Frostschutzkerzen,"Apfel, Wein",Frühjahr,,Die in den Fahrgassen aufgestellten Frostschutzkerzen verhindern ein Absinken der Temperatur in der Anlage auf <0°C ,Der Einsatz von Frostschutzkerzen ist sehr kostspielig (bis zu 2400 €/ha/Frostnacht) und trägt zu erhöhten THG-Emissionen und zu einer Luftverschlechterung bei. Der Einsatz ist nicht überall erlaubt. Der zusätzliche Arbeitsaufwand beschränkt sich i.d.R. auf einzelne Tage.  Jedoch ist es eine sehr effektive Maßnahme zur Vermeidung katastrophaler Frostschäden. Zusätzliche Hagelnetze verstärken den Frostschutz.
140,Mobile gas turbines,3,3,"Apple, vineyards",32,4,Spring,,,The gas turbines driven through the lanes producing hot air ,1,3,2,2,2,2,2,4,3,2,"The gas turbines have a low efficiency (40%) and are therefore quite expensive. The GHG emissions are high. The additional workload is usually increased on single days, but the measure is  effective to avoid catastrophic frost damages if the same spot can be warmed every 10 minutes. ",1,Mobile Gasturbinen (frostbuster),"Apfel, Wein",Frühjahr,,Die mobilen Gasturbinen werden kontinuierlich durch die Fahrgassen gefahren während sie warme Luft abgeben,"Die Gasturbinen haben einen niedrigen Wirkungsgrad (40%) und sind daher recht teuer. Zudem sind die THG-Emissionen hoch. Der zusätzliche Arbeitsaufwand beschränkt sich i.d.R. auf einzelne Tage. Jedoch ist es eine effektive Maßnahme zur Vermeidung katastrophaler Frostschäden, wenn alle 10 min an der gleichen Stelle die Erwärmung realisiert werden kann. "
141,Grassland management,3,2,Dairy cows,21,8,All,,,Planning the cutting and grazing times properly to react to varying weather and growing conditions,1,2,2,2,2,2,1,5,2,2,"Through the lengthening of the vegetation period and a higher risk for drought in summer and extreme weather events, there is a need to adapt the grassland management. The efficiency of the grassland can be increased by adapting the cutting and grazing times of the different grassland plots. It has positive effects on the fodder quality and therefore on the animal production and health. ",1,Grünlandmanagement,Milchkühe,Ganzjährig,,Angepasste Planung von Schnitt- und Weidezeiten durch sich verändernde Wetter- bzw. Produktionsbedingungen,Durch die verlängerte Vegetationsperiode und das erhöhte Risiko für Trockenheit und Extremwetterbedingungen durch den Klimawandel bedarf es einer Anpassung der Grünlandbewirtschaftung. Ein verbessertes Grünlandmanagment ermöglicht die Festlegung von optimalen Weide- und Schnittzeitpunkten der verschiedenen Grünlandflächen. Dies wirkt sich positiv auf die Futterqualität-/quantität und somit auf die Tierleistung und -gesundheit aus.
142,Reduced cutting and fertilising of grassland,3,2,Dairy cows,21,1,Summer,,,"During drought periods, less cutting and fertilising  till the grass is green and able to absorb nutrients again",1,1,1,1,1,2,2,5,2,1,"By mowing the grassland less often, the total yields are usually higher than with the normal number of cuttings. Less harvest crossings are therefore necessary which lead to a reduced fuel need, working hours and to less soil compaction. Due to a reduced fertilisation, less ammonia emissons occur. It is however important to cut old dry grass which won't green any more. ",1,Reduzierte Schnittnutzung und Düngung,Milchkühe,Sommer,,Weniger Schnitte und reduzierte Düngung solange das Grünland trocken ist und keine Nährstoffe aufnehmen kann,"Wird das Grünland bei Trockenheit seltener gemäht, können i.d.R. höhere Gesamterträge eingefahren werden als bei gleichbleibend gewohnter Schnittzahl. Gleichzeitig sind weniger Überfahrten notwendig, was zu Einsparungen von Treibstoff, Arbeitsaufwand und zu geringerer Bodenbelastung führt. Durch die reduzierte Düngung reduzieren sich die Ammoniakemissionen. Wichtig ist jedoch, dass überständiges Gras abgemäht wird, das nicht mehr ergrünen kann."
143,Adapting the cutting depth,3,2,Dairy cows,21,1,Summer,,,"During drought, cutting of the grass to a minimum of 8-10 cm so the plant can store enough reserves in the stubbles",1,2,2,2,2,2,2,5,2,1,"Due a reduced cutting depth, the grass can store reserve substances in the stubbles for a successful regreening when enough water is available. This is the basis for further stable yields.",1,Anpassung der Schnitttiefe,Milchkühe,Sommer,,"Bei Trockenheit Schnitttiefe auf maximal 8-10 cm anpassen, um ausreichend Reservestoffe in den Stoppeln zu belassen","Durch die geringere Schnitttiefe können die Gräser ihre Reservestoffe während Trockenzeiten in den Stoppeln einlagern, damit sie bei ausreichend verfügbarem Wasser wieder austreiben können. Dies ist Basis für stabile Folgeerträge. "
144,Farming cooperation,3,2,Dairy cows,21,8,All,,,Fodder/manure or grassland cooperation with farms who have different types of grassland (wet/dry) or forage grass ,3,2,2,2,2,2,2,5,2,2,"The possibility to get forage from a cooperating farm, possibly through the exchange for organic manure, increases the yield stability. It is therefore possible to avoid a lack of forage and the buying of expensive forage when the yields are low.",1,Betriebskooperationen,Milchkühe,Ganzjährig,,"Futter-Mist- bzw. Grünlandkooperation mit Betrieben, die diverse Grünlandflächen (nass/trocken) oder Ackerfutter haben","Durch die Möglichkeit, von einem Kooperationspartner Futter zu beziehen, evtl. im Austausch mit Wirtschaftsdünger, erhöht die Ertragssicherheit. Dies vermeidet Futtermangel bzw. teuren Futterzukauf in Jahren mit geringen Grünland- bzw. Ackerfuttererträgen z.B. bedingt durch längere Trocken-/Hitzeperioden während der Vegetationszeit."
145,Farming cooperation,3,1,All crops,13,8,All,,,Fodder/manure cooperation with animal farms that get forage plants in return for organic fertliser,3,2,2,1,1,1,2,5,2,2,"The arable crop farm can produce forage plants such as clover grass for an animal farm, which improve e.g. the soil structure, the soil life and the water infiltration into the soil of the arable farm. The animal farm, in return, delivers organic manure for the arable crops.",1,Betriebskooperationen,Alle Ackerfrüchte,Ganzjährig,,"Futter-Mist-Kooperation mit Tierbetrieben, die im Gegenzug zur Belieferung von Ackerfutter Wirtschaftsdünger abgeben ",Durch die Kooperation bietet sich eine  sinnvolle Verwertung der angebauten  Futterpflanzen wie Kleegras im Ackerbaubetrieb an. Gleichzeitig wirkt sich der Anbau von Ackerfutter/Leguminosen positiv auf die  Bodenstruktur und das Bodenleben aus. Der Tierhaltungsbetrieb liefert im Gegenzug wertvollen organischen Dünger für die Ackerfrüchte.
146,Insurances,3,1,All crops,13,8,All,,,Insurances for extreme weather events protect the farm from high economic loss,2,2,2,2,2,2,2,4,2,2,"Especially in risk regions, insurances against extreme weather events protect the farm from high economic loss so yield losses will not lead to a threat of livelihood. Agreements with the purchasers about yield losses are important. ",1,Versicherungen,Alle Ackerfrüchte,Ganzjährig,,Versicherungen gegen Extremwetterereignisse schützen den Betrieb vor großen wirtschaftlichen Verlusten,"Besonders in gefährdeten Gebieten schützen Versicherungen gegen Extremwetterereignisse den Betrieb vor großen wirtschaftlichen Schäden, so dass ein Ertragsausfall nicht zu einer Existenzgefährdung führt. Wichtig sind Absprachen mit Abnehmern bei Ertragsausfällen."
147,Insurances,3,3,"Apple, vineyards",32,4,Spring,6,Spring and summer,Insurances for extrem weather events protect the farm from high economic loss,2,2,2,2,2,2,2,5,2,2,"Especially in risk regions, insurances against extreme weather events protect the farm from high economic loss so yield losses will not lead to a threat of livelihood. Agreements with the purchasers about yield losses are important. ",1,Versicherungen,"Apfel, Wein",Frühjahr,Frühjahr und Sommer,Versicherungen gegen Extremwetterereignisse schützen den Betrieb vor großen wirtschaftlichen Verlusten,"Besonders in gefährdeten Gebieten schützen Versicherungen gegen Extremwetterereignisse (z.B. Spätfrost, Hagel) den Betrieb vor großen wirtschaftlichen Schäden, so dass ein Ertragsausfall nicht zu einer Existenzgefährdung führt. Wichtig sind Absprachen mit Abnehmern bei Ertragsausfällen."
148,Reduced summer pruning,3,3,Apple,32,3,Summer,,,A reduced pruning on the sunny side of the trees protects the trees from sunburn during high temperatures,1,2,2,1,2,2,2,5,1,2,"A reduced pruning means more organic material and a higher degree of shadow, which has a positive effect on the soil /soil organisms. Less pruning means less workload and simultaneously higher (quality-) yields.",1,Reduzierter Sommerschnitt,Apfel,Sommer,,Durch einen reduzierten Sommerschnitt auf der Sonnenseite der Bäume werden die Früchte bei hohen Temperaturen vor Sonnenbrand geschützt,Aufgrund des vermehrten Laubanfalls und somit des höheren Anteils an organischem Material bzw. erhöhtem Beschattungsanteil kann sich dies positiv auf den Boden bzw. das Bodenleben auswirken. Weniger Schnitt bedeutet auch einen reduzierten Arbeitsaufwand bei gleichzeitig besseren (Qualitäts-)Erträgen.
149, Pruning and vine management after extreme weather events,3,3,Vineyards,32,6,All,4,Spring,Pruning and collecting damaged material to avoid secondary infections. Retraining of not damanged sides,2,2,2,2,2,2,2,5,3,2,"These practices avoid further yield losses, especially by secondary infections. It means further workload but it secures yields and the plant for the farm.",1,Schnitt und Umerziehung nach Extremwetterereignissen,Wein,Ganzjährig,Frühjahr,Rückschnitt und Abfahren geschädigten Materials (Vermeidung von Folgeinfektionen). Umerziehung nicht geschädigter Seiten- zu Leittrieben. ,"Diese Praktiken verhindern weitere Ertragsverluste, vor allem durch Sekundärinfektionen. Sie bedeuten zusätzlichen Arbeitsaufwand, sichern jedoch Erträge und Pflanzgut des Betriebes. "
150,Orientation of new plantations,3,3,Apple and vineyards,32,7,All,2,All,Plant rows along the main wind direction to avoid storm damage and horizontally to the hill to avoid erosion,2,2,2,1,2,2,2,5,2,1,Plantation across the slope reduces the erosion risk. A reduced risk for storm damage can be achieved by the orientation of the plantation in direction of the main winds. ,1,Ausrichtung von Neuanlagen,"Apfel, Wein",Ganzjährig,Ganzjährig,Reihenausrichtung längs zur Hauptwindrichtung gegen Sturmschäden bzw. quer zum Hang gegen Erosion,Die Errichtung der Anlage quer zum Hang reduziert das Erosionsrisiko. Ein reduziertes Risiko für Sturmschäden kann durch eine Ausrichtung der Anlage in Hauptwindrichtung erreicht werden.
151,Adaptation of the plantation site,3,3,Apple and vineyards,32,4,Winter / spring,,,Removal of obstacles which avoid the flowing out of the cold air and implementing of plantings on the hilly side ,2,2,2,2,2,2,2,5,3,2,The measure means additional workload in the beginning but it helps to secure the yields and to avoid heavy frost damages. It is recommendable to consult technical experts.,1,Anpassung des Standortes,"Apfel, Wein",Winter und Frühjahr,,"Entfernung von Hindernissen, die den Kaltabfluss verhindern können und bergseitige Schutzpflanzungen","Die Maßnahmen bedeuten anfangs einen zusätzlichen Arbeitsaufwand helfen jedoch, die Erträge zu sichern und schwere Frostschäden zu vermeiden. Dazu empfiehlt es sich, externe fachliche Beratung hinzuzuziehen."
152,Higher trunks,3,3,Vineyards,32,4,Winter / spring,,,Adaptating pruning to get higher trunks which are less vulnerable to frost,3,2,2,2,2,2,2,5,2,3,The measure helps to secure the yields and to avoid heavy frost damages. It is recommendable to consult technical experts.,1,Höhere Stammformen,Wein,Winter und Frühjahr,,Erziehungsschnitt hin zu einer höheren Stammform zur Reduzierung der Frostanfälligkeit der Pflanzen,"Die Maßnahmen tragen dazu bei, die Erträge zu sichern und schwere Frostschäden zu vermeiden. Dazu empfiehlt es sich, externe fachliche Beratung hinzuzuziehen."
153,Wind machines,3,3,Apple and vineyards,32,4,Spring,,,Warm air is whirled from higher air layers to the ground and thereby cold air is brought out of the plantation,2,3,2,2,2,2,2,4,3,3,"Windmachines have a high efficiency to protect from frost damages, but the investment and the operation costs are very high and they are very energy intensive. Additional working load is necessary. Authorization has to be obtained.",1,Windräder / Windmaschinen,"Apfel, Wein",Frühjahr,,Warme Luft wird aus höheren Luftschichten nach unten gewirbelt und kalte Luft aus den Senken bzw. aus den Kulturen heraus gewirbelt,"Windmaschinen haben einen hohen Wirkungsgrad bei der Frostschutzbekämpfung, sind jedoch in Anschaffung und Betrieb sehr teuer und energieaufwendig. Es ist zusätzlicher Arbeitsaufwand notwendig. Genehmigungen müssen eingeholt werden. "
154,Shallow soil tillage,3,3,Apple and vineyards,32,1,Summer,,,Shallow soil management during drought,1,1,2,1,1,2,2,5,2,1,A shallow soil tillage protects the soil from drying out and it also needs less fuel. The shallow tillage avoids additional loss of organic material in the soil (in contrast to subsoiling). ,1,Flache Bodenbearbeitung,"Apfel, Wein",Sommer,,Flache Bodenbearbeitung bei Trockenheit langfristig jedoch Tiefenlockerung für eine bessere Durchwurzelbarkeit,"Eine flache Bodenbearbeitung schützt nicht nur den Boden vor Austrocknung, es bedarf auch eines geringeren Kraftstoffaufwands. Durch die flache Bearbeitung wird der Abbau von organischer Substanz (gegenüber der Tiefenlockerung) reduziert. "
155,Covering of the driving lanes,3,3,Apple and vineyards,33,1,Summer,2,All,Sowing a diverse greening mixture into the driving lanes protects the whole soil system,2,1,2,1,1,1,2,5,2,2,"A diverse catch crop mixture protects the soil from drying out, from too much heat and erosion. At the same time the plants store CO2, contribute to humus formation and a good soil structure by rooting in the soil. The plants improve the biodiversity in the plantation especially when it is a diverse catch crop mixture and lead to a better water storing capacity of the soil. ",1,Bodenbedeckung in den Fahrgassen,"Apfel, Wein",Sommer,Ganzjährig,Einsaat einer vielseitigen Begrünungsmischung in die Fahrgassen stärkt das gesamte Bodensystem,"Eine vielseitige Zwischenfruchtmischung schützt den Boden vor Austrocknung, Überhitzung und Erosion. Gleichzeitig binden die Pflanzen CO2, fördern den Humusaufbau und eine gute Bodenstruktur durch eine vielseitige Durchwurzelung des Bodens. Insbesondere vielseitige Mischungen verbessern die Biodiversität in der Anlage."
156,Fertilisation of leafs,3,3,Apple and vineyards,32,1,Summer,,,"To ensure nutrient uptake during drought periods, a leaf fertilisation should take place",1,2,2,2,2,2,2,5,2,1,"The possibility of supporting plants with nutrients by a leaf fertilisation, even during drought periods, has positive consequences on the yields and the quality of the fruits.",1,Blattdüngung,"Apfel, Wein",Sommer,,Eine Blattdüngung gewährleistet die Nährstoffzufuhr bei Trockenheit in die Pflanzen,"Eine Blattdüngung ermöglicht es, die Pflanzen auch während Trockenperioden mit Nährstoffen zu versorgen, wenn durch den niedrigen Bodenfeuchtigkeitsgehalt die Nährstoffe im Boden nicht mehr gelöst und transportiert werden können. Dies wirkt sich positiv auf den Ertrag und die Qualität der Früchte aus."
157,Stabilisation of the plantation facilities,3,3,Apple and vineyards,32,7,All,,,"Increasing the strength of the plantation e.g. using tensioning ropes, concrete poles and anchors",2,2,2,2,2,2,2,2,3,2,The implementation of the measure needs some investment and a higher workload in the beginning. It is especially worth in exposed regions with a higher storm risk to avoid yield losses. ,1,Stabilisierung der Anlage,"Apfel, Wein",Ganzjährig,,"Stabilität der Anlagen erhöhen z.B.  flachere  Abspannungswinkel, Betonmasten/-erdanker, dickere Abspannseile nutzen","Die Umsetzung der Verstärkungsmaßnahmen bedarf anfänglicher Investitionen und eines zusätzlichen Arbeitsaufwandes. Jedoch lohnt sich die Maßnahme langfristig speziell in sturmgefährdeten, exponierten Gebiete durch Vermeidung von Sturmverlusten."
158,Delayed creating of driving lanes,3,1,All crops,13,2,Spring / Fall,,,The delayed creating of driving lanes reduces the risk of erosion especially in hilly regions,1,2,2,1,1,2,2,5,2,1,"The missing driving lanes in the beginning of the plant developement reduce the risk for soil erosion so the soil is kept on the field. At the same time, more rain water can be absorbed into the soil and the washing away of pesticides and nutrients can be avoided.",1,Späteres Anlegen der Fahrgassen,Alle Ackerfrüchte,Frühjahr / Herbst,,Das spätere Anlegen von Fahrgassen trägt zur Reduzierung der Bodenerosion vor allem in hügligen Lagen bei,Durch das Fehlen der Fahrgassen bzw. die durchgehende Bepflanzung im Anfangsstadium der Kultur wird das Risiko der Bodenerosion reduziert und somit der Erhalt der Bodenkrume gefördert. Gleichzeitig kann bei Niederschlägen vermehrt Wasser in den Boden eindringen und das Abschwemmen von Pestiziden und Nährstoffen reduziert werden.  
